 Value of m    Value of n  Wavelength in Å
        41        35    4117546.500
        41        36    5159546.500
        41        37    6725367.500
        41        38    9338694.000
        41        39   14570559.000
        41        40   30276262.000
        42         1        912.317
        42         2       3655.489
        42         3       8248.283
        42         4      14722.336
        42         5      23122.703
        42         6      33508.648
        42         7      45954.723
        42         8      60552.102
        42         9      77410.352
        42        10      96659.570
        42        11     118452.977
        42        12     142970.234
        42        13     170421.406
        42        14     201051.891
        42        15     235148.422
        42        16     273046.625
        42        17     315140.312
        42        18     361893.406
        42        19     413854.531
        42        20     471676.031
        42        21     536138.375
        42        22     608182.062
        42        23     688948.688
        42        24     779837.625
        42        25     882580.750
        42        26     999346.188
        42        27    1132883.750
        42        28    1286732.250
        42        29    1465522.500
        42        30    1675432.375
        42        31    1924890.250
        42        32    2225699.000
        42        33    2594910.000
        42        34    3058105.000
        42        35    3655489.250
        42        36    4454073.000
        42        37    5574481.500
        42        38    7257975.000
        42        39   10067485.000
        42        40   15691861.000
        42        41   32575278.000
        43         1        912.293
        43         2       3655.107
        43         3       8246.339
        43         4      14716.144
        43         5      23107.432
        43         6      33476.586
        43         7      45894.438
        43         8      60447.488
        43         9      77239.461
        43        10      96393.266
        43        11     118053.305
        43        12     142388.406
        43        13     169595.344
        43        14     199903.188
        43        15     233578.562
        43        16     270932.250
        43        17     312327.125
        43        18     358188.531
        43        19     409016.469
        43        20     465401.875
        43        21     528046.812
        43        22     597790.812
        43        23     675644.438
        43        24     762834.938
        43        25     860865.125
        43        26     971594.750
        43        27    1097352.125
        43        28    1241089.125
        43        29    1406604.375
        43        30    1598868.500
        43        31    1824512.625
        43        32    2092582.000
        43        33    2415743.250
        43        34    2812296.000
        43        35    3309695.000
        43        36    3951084.750
        43        37    4808378.000
        43        38    6011027.000
        43        39    7817929.000
        43        40   10833210.000
        43        41   16869218.000
        43        42   34987736.000
        44         1        912.271
        44         2       3654.751
        44         3       8244.526
        44         4      14710.373
        44         5      23093.209
        44         6      33446.742
        44         7      45838.363
        44         8      60350.250
        44         9      77080.773
        44        10      96146.234
        44        11     117682.984
        44        12     141850.016
        44        13     168832.125
        44        14     198843.656
        44        15     232133.281
        44        16     268989.688
        44        17     309748.469
        44        18     354801.062
        44        19     404605.344
        44        20     459699.188
        44        21     520717.688
        44        22     588415.000
        44        23     663691.875
        44        24     747633.000
        44        25     841554.500
        44        26     947067.812
        44        27    1066166.875
        44        28    1201347.125
        44        29    1355772.500
        44        30    1533513.625
        44        31    1739897.375
        44        32    1982029.125
        44        33    2269600.250
        44        34    2616183.000
        44        35    3041385.000
        44        36    3574620.250
        44        37    4262115.500
        44        38    5180921.500
        44        39    6469726.000
        44        40    8405927.000
        44        41   11636769.000
        44        42   18104012.000
        44        43   37516508.000
        45         1        912.250
        45         2       3654.418
        45         3       8242.834
        45         4      14704.987
        45         5      23079.938
        45         6      33418.914
        45         7      45786.109
        45         8      60259.703
        45         9      76933.125
        45        10      95916.625
        45        11     117339.180
        45        12     141350.812
        45        13     168125.406
        45        14     197864.094
        45        15     230799.375
        45        16     267200.188
        45        17     307377.938
        45        18     351694.281
        45        19     400570.094
        45        20     454497.250
        45        21     514053.125
        45        22     579919.000
        45        23     652903.000
        45        24     733970.688
        45        25     824283.500
        45        26     925250.562
        45        27    1038597.188
        45        28    1166457.500
        45        29    1311501.875
        45        30    1477115.875
        45        31    1667655.500
        45        32    1888819.625
        45        33    2148209.500
        45        34    2456193.750
        45        35    2827292.250
        45        36    3282480.000
        45        37    3853223.250
        45        38    4588975.000
        45        39    5572155.500
        45        40    6951134.500
        45        41    9022646.000
        45        42   12479082.000
        45        43   19397642.000
        45        44   40164312.000
        46         1        912.231
        46         2       3654.107
        46         3       8241.253
        46         4      14699.953
        46         5      23067.537
        46         6      33392.922
        46         7      45737.336
        46         8      60175.242
        46         9      76795.508
        46        10      95702.812
        46        11     117019.367
        46        12     140886.969
        46        13     167469.609
        46        14     196956.406
        46        15     229565.297
        46        16     265547.531
        46        17     305192.969
        46        18     348836.781
        46        19     396867.344
        46        20     449736.344
        46        21     507971.125
        46        22     572190.312
        46        23     643122.938
        46        24     721634.000
        46        25     808756.188
        46        26     905731.500
        46        27    1014066.250
        46        28    1135604.500
        46        29    1272626.875
        46        30    1427986.750
        46        31    1605301.500
        46        32    1809225.000
        46        33    2045844.875
        46        34    2323281.500
        46        35    2652611.500
        46        36    3049344.000
        46        37    3535884.500
        46        38    4145846.500
        46        39    4932050.000
        46        40    5982540.000
        46        41    7455792.000
        46        42    9668769.000
        46        43   13361064.000
        46        44   20751448.000
        46        45   42933780.000
        47         1        912.213
        47         2       3653.816
        47         3       8239.771
        47         4      14695.239
        47         5      23055.932
        47         6      33368.605
